S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
100,2021-07-26,57,405274.00,6213587.10,15.55,15.19,15.48
101,2021-07-25,77,361395.00,5670302.29,16.25,15.51,15.70
102,2021-07-22,154,640722.00,10159347.44,16.20,15.44,15.95
103,2021-07-20,61,193110.00,2904235.51,15.30,14.56,15.14
104,2021-07-19,42,279619.00,3983575.66,14.60,14.15,14.29
105,2021-07-18,62,134710.00,1888971.75,14.32,13.65,14.32
106,2021-07-15,21,830716.00,10804139.06,13.75,12.89,13.65
107,2021-07-14,22,238983.00,3240129.06,13.67,13.41,13.67
108,2021-07-13,33,263125.00,3550555.49,13.54,13.40,13.54
109,2021-07-12,24,934525.00,12627167.47,13.70,13.23,13.48
110,2021-07-11,13,127108.00,1709907.84,13.55,13.40,13.50
111,2021-07-08,26,143865.00,1925899.12,13.42,13.31,13.42
112,2021-07-07,23,91650.00,1222549.23,13.40,13.11,13.40
113,2021-07-06,32,129616.00,1724045.14,13.43,13.16,13.34
114,2021-07-05,22,256912.00,3382747.64,13.42,13.16,13.35
115,2021-07-04,26,81564.00,1075439.92,13.30,13.17,13.17
116,2021-07-01,19,70576.00,938019.73,13.30,13.20,13.29
117,2021-06-30,25,381765.00,4960701.21,13.20,12.75,13.07
118,2021-06-29,13,36639.00,485370.20,13.32,13.20,13.20
119,2021-06-28,17,24540.00,323951.53,13.32,13.11,13.20
120,2021-06-27,22,44848.00,589538.45,13.30,12.91,13.16
121,2021-06-24,19,32412.00,425104.45,13.19,13.00,13.15
122,2021-06-23,32,141827.00,1867793.00,13.40,13.12,13.12
123,2021-06-22,26,97718.00,1271336.00,13.18,12.94,13.18
124,2021-06-21,44,340220.00,4453907.00,13.21,12.94,12.94
125,2021-06-20,49,857259.00,11359803.87,13.54,13.22,13.22
126,2021-06-17,33,148040.00,1965815.59,13.40,13.14,13.28
127,2021-06-16,43,115866.00,1548776.77,13.50,13.31,13.34
128,2021-06-15,42,128697.00,1712473.15,13.35,13.25,13.31
129,2021-06-14,24,52624.00,700257.34,13.40,13.15,13.25
130,2021-06-13,33,128871.00,1712290.14,13.40,13.25,13.25
131,2021-06-10,32,101034.00,1364648.54,13.77,13.36,13.51
132,2021-06-09,43,175064.00,2332301.35,13.35,13.18,13.26
133,2021-06-08,49,159820.00,2139720.67,13.65,13.14,13.30
134,2021-06-07,49,141485.00,1875537.43,13.35,13.14,13.17
135,2021-06-06,24,84787.00,1114306.71,13.30,12.60,13.15
136,2021-06-03,41,137763.00,1749181.53,12.85,12.51,12.85
137,2021-06-02,26,41828.00,524507.67,12.73,12.55,12.51
138,2021-06-01,23,104138.00,1309433.96,12.73,12.55,12.60
139,2021-05-31,46,140268.00,1771785.57,12.85,12.45,12.61
140,2021-05-30,56,366258.00,4506154.24,12.50,12.12,12.50
141,2021-05-27,36,1722878.00,20647944.56,12.10,11.86,12.07
142,2021-05-25,33,85013.00,1020925.94,12.05,11.92,11.98
143,2021-05-24,33,125361.00,1504215.23,12.05,11.98,11.99
144,2021-05-23,11,9809.00,116506.17,11.95,11.80,11.95
145,2021-05-20,12,72262.00,855401.39,11.94,11.66,11.86
146,2021-05-19,53,329215.00,3898043.78,11.86,11.66,11.86
147,2021-05-18,31,54337.00,640616.12,11.94,11.77,11.79
148,2021-05-17,29,119234.00,1403967.90,11.80,11.68,11.77
149,2021-05-16,22,83241.00,969538.46,11.70,11.52,11.65
150,2021-05-13,23,74505.00,861691.95,11.74,11.52,11.60
151,2021-05-12,18,168809.00,1949161.48,11.55,11.48,11.55
152,2021-05-11,28,144568.00,1658897.33,11.50,11.35,11.50
153,2021-05-10,4,4047.00,46055.21,11.40,11.37,11.38
154,2021-05-09,26,84465.00,959720.37,11.40,11.32,11.40
155,2021-05-06,13,33811.00,383162.27,11.47,11.30,11.36
156,2021-05-05,32,147613.00,1678533.95,11.55,11.20,11.48
157,2021-05-04,38,272348.00,3122015.45,11.50,11.27,11.47
158,2021-05-03,12,76162.00,875041.02,11.50,11.40,11.46
159,2021-05-02,26,143491.00,1643011.11,11.50,11.41,11.50
160,2021-04-29,19,45333.00,518411.46,11.50,11.41,11.42
161,2021-04-28,11,45829.00,527521.75,11.60,11.49,11.50
162,2021-04-27,18,44752.00,510037.50,11.52,11.06,11.52
163,2021-04-26,24,60203.00,681942.60,11.65,11.23,11.23
164,2021-04-25,21,63137.00,721240.41,11.45,11.38,11.43
165,2021-04-22,20,27243.00,311666.38,11.60,11.38,11.42
166,2021-04-21,23,42213.00,485462.55,11.59,11.40,11.59
167,2021-04-20,18,28434.00,327235.02,11.60,11.40,11.47
168,2021-04-19,13,43180.00,500912.68,11.67,11.48,11.60
169,2021-04-18,25,69835.00,812656.59,11.69,11.48,11.67
170,2021-04-15,9,14710.00,169577.54,11.60,11.40,11.60
171,2021-04-13,17,22985.00,266303.61,11.61,11.52,11.61
172,2021-04-12,19,30839.00,357163.60,11.73,11.50,11.71
173,2021-04-08,15,21259.00,245125.78,11.65,11.45,11.65
174,2021-04-07,31,73129.00,840218.47,11.65,11.27,11.52
175,2021-04-06,21,143666.00,1677252.38,11.85,11.44,11.45
176,2021-04-05,13,67363.00,769803.50,11.50,11.22,11.44
177,2021-04-04,19,63489.00,731716.06,11.68,11.41,11.42
178,2021-04-01,27,93380.00,1076244.84,11.64,11.50,11.64
179,2021-03-31,14,17917.00,207418.94,11.78,11.50,11.67
180,2021-03-30,21,56877.00,653922.67,11.55,11.32,11.55
181,2021-03-29,21,67316.00,765560.34,11.69,11.30,11.33
182,2021-03-25,36,109123.00,1236627.07,11.47,11.21,11.47
183,2021-03-24,23,109237.00,1247134.30,11.58,11.10,11.58
184,2021-03-23,23,141746.00,1592347.22,11.28,11.12,11.25
185,2021-03-22,20,198372.00,2205566.00,11.50,11.00,11.30
186,2021-03-21,26,112204.00,1258740.36,11.35,11.00,11.35
187,2021-03-18,16,25805.00,286855.83,11.25,11.03,11.14
188,2021-03-17,21,31184.00,344020.47,11.05,11.00,11.05
189,2021-03-16,25,55595.00,621051.36,11.22,11.00,11.01
190,2021-03-15,10,42146.00,465876.45,11.10,11.00,11.05
191,2021-03-14,16,32433.00,357423.00,11.04,11.00,11.00
192,2021-03-10,15,26832.00,296067.34,11.06,11.00,11.06
193,2021-03-09,14,29000.00,320744.04,11.10,11.01,11.07
194,2021-03-07,13,24483.00,270421.35,11.10,11.01,11.07
195,2021-03-04,20,48037.00,529816.70,11.06,11.00,11.06
196,2021-03-03,26,66714.00,741620.13,11.47,10.98,11.03
197,2021-03-02,23,70360.00,796557.92,11.70,11.15,11.25
198,2021-03-01,25,108954.00,1242291.69,11.47,11.10,11.31
199,2021-02-28,24,39052.00,441933.35,11.46,11.24,11.29
200,2021-02-25,48,156016.00,1803227.43,11.76,11.46,11.46
201,2021-02-24,21,868338.00,9912525.82,11.65,11.40,11.40
202,2021-02-23,18,39795.00,455449.04,11.78,11.32,11.48
203,2021-02-22,46,111569.00,1313146.45,12.00,11.55,11.55
204,2021-02-21,62,191605.00,2183608.63,11.79,11.01,11.79
205,2021-02-18,39,56378.00,615121.54,11.00,10.70,10.87
206,2021-02-17,18,34272.00,367484.63,10.79,10.57,10.79
207,2021-02-16,25,54134.00,579338.04,10.75,10.66,10.75
208,2021-02-15,42,149514.00,1591685.93,10.73,10.34,10.61
209,2021-02-14,33,87563.00,927676.32,10.75,10.45,10.55
210,2021-02-11,15,37859.00,390422.25,10.45,10.22,10.36
211,2021-02-10,14,27706.00,286559.94,10.46,10.27,10.35
212,2021-02-09,21,53610.00,561120.99,10.49,10.44,10.46
213,2021-02-08,36,131884.00,1367110.34,10.47,10.13,10.42
214,2021-02-07,30,134063.00,1378271.42,10.40,10.17,10.29
215,2021-02-04,24,51753.00,532337.38,10.35,10.20,10.35
216,2021-02-03,34,109776.00,1147172.51,10.55,10.33,10.40
217,2021-02-02,15,73469.00,763793.20,10.52,10.28,10.32
218,2021-02-01,27,100365.00,1028660.03,10.35,10.16,10.32
219,2021-01-31,22,193330.00,2002708.17,10.38,10.25,10.36
220,2021-01-28,21,34106.00,354982.35,10.42,10.40,10.40
221,2021-01-27,19,63534.00,668810.37,10.75,10.41,10.56
222,2021-01-26,35,88689.00,940690.63,10.70,10.51,10.55
223,2021-01-25,29,148669.00,1580028.03,10.72,10.45,10.72
224,2021-01-24,31,51901.00,544524.38,10.57,10.41,10.57
225,2021-01-21,17,40448.00,424177.98,10.55,10.45,10.52
226,2021-01-20,23,79543.00,845892.34,10.69,10.48,10.68
227,2021-01-19,27,53271.00,571340.79,10.80,10.59,10.69
228,2021-01-18,40,206203.00,2163378.16,10.69,10.31,10.69
229,2021-01-17,19,46625.00,485468.89,10.46,10.22,10.40
230,2021-01-13,28,439820.00,4548601.25,10.38,10.20,10.36
231,2021-01-12,37,166971.00,1727298.18,10.38,10.15,10.35
232,2021-01-11,29,186663.00,1928156.57,10.42,10.20,10.20
233,2021-01-10,34,66048.00,671226.04,10.24,10.00,10.24
234,2021-01-07,27,89245.00,906707.46,10.20,10.12,10.15
235,2021-01-06,32,128386.00,1298125.66,10.17,10.06,10.10
236,2021-01-05,33,124584.00,1250457.86,10.10,9.91,9.98
237,2021-01-04,8,40832.00,412903.20,10.20,10.10,10.10
238,2021-01-03,21,43963.00,445771.08,10.18,10.10,10.10
239,2020-12-31,40,128386.00,1308331.35,10.30,10.04,10.18
240,2020-12-30,37,86739.00,877679.43,10.20,10.00,10.10
241,2020-12-29,38,72403.00,725665.68,10.10,10.00,10.00
242,2020-12-28,16,23955.00,237096.07,9.98,9.80,9.97
243,2020-12-27,21,36656.00,360847.41,9.98,9.80,9.85
244,2020-12-24,41,168508.00,1698497.05,10.13,9.93,10.00
245,2020-12-23,38,85478.00,856126.76,10.06,9.93,10.02
246,2020-12-22,10,38866.00,386294.89,9.95,9.90,9.93
247,2020-12-21,17,78216.00,771608.71,9.89,9.70,9.89
248,2020-12-20,20,86787.00,855412.19,9.93,9.85,9.86
249,2020-12-17,22,61475.00,611870.29,10.03,9.86,9.93
250,2020-12-16,9,17468.00,175465.66,10.10,10.00,10.03
251,2020-12-15,17,77369.00,778228.05,10.10,9.90,10.01
252,2020-12-14,27,72832.00,733587.25,10.10,9.78,10.01
253,2020-12-13,25,90506.00,901830.40,10.00,9.90,9.95
254,2020-12-10,21,48452.00,474964.86,9.89,9.67,9.89
255,2020-12-09,18,41424.00,410146.64,10.00,9.86,9.86
256,2020-12-08,20,53762.00,537832.95,10.05,9.75,10.05
257,2020-12-07,15,70465.00,695243.97,9.97,9.74,9.90
258,2020-12-06,18,21776.00,216634.21,10.00,9.89,9.89
259,2020-12-03,49,99503.00,1002273.23,10.10,10.05,10.07
260,2020-12-02,31,92133.00,929316.82,10.10,10.02,10.08
261,2020-12-01,41,81938.00,834431.08,10.29,10.00,10.10
262,2020-11-30,24,339322.00,3531649.82,10.46,10.21,10.35
263,2020-11-29,54,657594.00,6847549.02,10.58,10.21,10.41
264,2020-11-26,49,181036.00,1844785.00,10.40,10.00,10.38
265,2020-11-25,29,59726.00,604711.78,10.15,10.05,10.20
266,2020-11-24,34,95274.00,964670.44,10.30,9.87,10.11
267,2020-11-23,30,136800.00,1374595.89,10.20,10.00,10.00
268,2020-11-22,53,210623.00,2162916.05,10.47,10.07,10.15
269,2020-11-19,29,87485.00,915292.49,10.51,10.45,10.47
270,2020-11-18,55,203594.00,2113100.28,10.51,10.15,10.45
271,2020-11-12,40,135467.00,1367948.15,10.17,9.90,10.15
272,2020-11-11,42,154781.00,1553786.23,10.19,9.75,10.05
273,2020-11-10,6,17285.00,168091.01,9.76,9.57,9.76
274,2020-11-09,20,55411.00,541602.63,9.82,9.67,9.72
275,2020-11-08,22,52741.00,515418.54,9.84,9.60,9.80
276,2020-11-05,10,24303.00,234564.83,9.68,9.61,9.65
277,2020-11-04,9,23025.00,221129.50,9.65,9.46,9.65
278,2020-11-03,31,83545.00,810986.34,9.89,9.44,9.65
279,2020-11-02,8,7999.00,75542.25,9.49,9.42,9.43
280,2020-11-01,11,12682.00,119589.44,9.50,9.40,9.42
281,2020-10-29,7,8849.00,83513.50,9.50,9.40,9.40
282,2020-10-28,15,79880.00,759110.00,9.53,9.45,9.50
283,2020-10-22,14,25573.00,241283.20,9.50,9.40,9.40
284,2020-10-21,23,116488.00,1109915.98,9.59,9.30,9.59
285,2020-10-20,5,45774.00,430072.72,9.40,9.38,9.38
286,2020-10-19,6,18456.00,171435.76,9.34,9.18,9.28
287,2020-10-18,10,20611.00,190778.17,9.34,9.17,9.18
288,2020-10-15,10,33689.00,312711.84,9.38,9.16,9.20
289,2020-10-14,9,33955.00,313570.33,9.25,9.21,9.23
290,2020-10-13,8,15579.00,146021.97,9.42,9.25,9.35
291,2020-10-12,12,25710.00,237758.63,9.35,9.16,9.25
292,2020-10-11,14,153304.00,1441745.42,9.53,9.34,9.34
293,2020-10-08,13,34064.00,319443.13,9.50,9.27,9.43
294,2020-10-07,8,19756.00,186163.98,9.45,9.31,9.45
295,2020-10-06,25,83208.00,778570.72,9.45,9.29,9.45
296,2020-10-05,22,174482.00,1654106.32,9.63,9.43,9.47
297,2020-10-04,19,41820.00,397503.18,9.81,9.30,9.30
298,2020-10-01,26,56787.00,569065.45,10.14,9.95,10.00
299,2020-09-30,12,14975.00,150013.80,10.10,9.96,10.10
300,2020-09-29,9,23284.00,232819.20,10.00,9.95,10.00
301,2020-09-28,18,32122.00,321483.84,10.10,9.90,9.97
302,2020-09-27,17,36857.00,367260.33,10.00,9.94,10.00
303,2020-09-24,20,91091.00,908168.83,10.00,9.92,10.00
304,2020-09-23,40,131718.00,1314104.80,10.01,9.93,10.00
305,2020-09-22,30,121782.00,1221220.50,10.05,9.92,9.94
306,2020-09-21,54,234615.00,2365181.47,10.25,10.00,10.02
307,2020-09-20,19,29738.00,303716.30,10.28,10.07,10.23
308,2020-09-17,31,106943.00,1086056.23,10.44,10.10,10.44
309,2020-09-16,21,146446.00,1477924.29,10.15,10.04,10.15
310,2020-09-15,32,69783.00,704268.65,10.15,10.03,10.07
311,2020-09-14,13,22740.00,228472.32,10.10,10.03,10.03
312,2020-09-13,22,86117.00,866729.67,10.20,10.04,10.05
313,2020-09-10,19,136214.00,1376344.80,10.13,10.05,10.11
314,2020-09-09,14,27374.00,275720.14,10.13,10.05,10.08
315,2020-09-08,8,15921.00,159437.08,10.10,9.93,10.06
316,2020-09-07,7,54759.00,550014.80,10.05,10.00,10.04
317,2020-09-06,15,35716.00,361258.80,10.20,10.05,10.08
318,2020-09-03,29,135857.00,1364359.82,10.10,9.96,10.10
319,2020-09-02,32,237192.00,2385343.63,10.15,9.94,10.03
320,2020-08-31,16,46916.00,471243.98,10.25,9.96,9.97
321,2020-08-30,7,5922.00,58552.97,9.95,9.88,9.95
322,2020-08-27,15,59799.00,596453.25,10.00,9.95,9.95
323,2020-08-26,40,89884.00,895095.58,10.15,9.90,10.15
324,2020-08-25,9,29664.00,295779.57,10.00,9.90,9.93
325,2020-08-24,11,92080.00,923437.60,10.10,9.95,9.97
326,2020-08-23,3,9154.00,91157.20,9.97,9.94,9.94
327,2020-08-20,15,81500.00,814575.95,10.04,9.91,10.00
328,2020-08-19,6,32911.00,328915.32,10.05,9.88,10.00
329,2020-08-18,13,632973.00,6337139.60,10.04,10.00,10.00
330,2020-08-17,5,66001.00,659835.60,10.00,9.90,10.00
331,2020-08-16,24,260789.00,2607003.00,10.00,9.89,10.00
332,2020-08-13,19,89417.00,893376.42,10.01,9.88,10.00
333,2020-08-12,4,110716.00,1101565.96,9.95,9.86,9.95
334,2020-08-11,6,54240.00,534420.04,9.89,9.80,9.84
335,2020-08-10,14,198842.00,1952096.84,9.93,9.73,9.80
