S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
342,2016-09-21,2,116.00,211816.00,1826.00,1826.00,1826.00
343,2016-09-20,2,260.00,491780.00,1900.00,1863.00,1863.00
344,2016-09-11,1,50.00,95000.00,1900.00,1900.00,1900.00
345,2016-09-08,2,76.00,144232.00,1927.00,1890.00,1927.00
346,2016-09-06,7,568.00,1059560.00,1927.00,1853.00,1853.00
347,2016-09-05,2,70.00,133140.00,1907.00,1900.00,1900.00
348,2016-09-04,7,289.00,546606.00,1945.00,1836.00,1945.00
349,2016-08-31,6,460.00,868136.00,1910.00,1800.00,1800.00
350,2016-08-30,3,350.00,645500.00,1860.00,1830.00,1860.00
351,2016-08-29,1,110.00,198330.00,1803.00,1803.00,1803.00
352,2016-08-28,2,323.00,589569.00,1839.00,1803.00,1803.00
353,2016-08-24,4,202.00,352644.00,1803.00,1705.00,1803.00
354,2016-08-23,4,520.00,893300.00,1730.00,1700.00,1700.00
355,2016-08-22,5,228.00,394638.00,1733.00,1724.00,1724.00
356,2016-08-21,1,12.00,21108.00,1759.00,1759.00,1759.00
357,2016-08-17,3,86.00,156156.00,1862.00,1794.00,1794.00
358,2016-08-16,1,18.00,34200.00,1900.00,1900.00,1900.00
359,2016-08-15,3,95.00,179608.00,1928.00,1855.00,1928.00
360,2016-08-14,3,600.00,1135200.00,1892.00,1892.00,1892.00
361,2016-08-11,7,288.00,530592.00,1892.00,1754.00,1892.00
362,2016-08-07,2,129.00,221670.00,1720.00,1710.00,1720.00
363,2016-08-04,2,108.00,189192.00,1755.00,1726.00,1726.00
364,2016-08-03,1,36.00,64440.00,1790.00,1790.00,1790.00
365,2016-08-02,6,786.00,1420690.00,1840.00,1804.00,1804.00
366,2016-08-01,2,200.00,367800.00,1840.00,1838.00,1838.00
367,2016-07-31,1,100.00,187500.00,1875.00,1875.00,1875.00
368,2016-07-28,3,211.00,391106.00,1877.00,1850.00,1850.00
369,2016-07-27,2,150.00,285850.00,1915.00,1887.00,1915.00
370,2016-07-26,3,96.00,176120.00,1850.00,1810.00,1850.00
371,2016-07-25,2,127.00,234652.00,1876.00,1840.00,1840.00
372,2016-07-21,2,22.00,40900.00,1875.00,1840.00,1840.00
373,2016-07-18,4,310.00,595750.00,1975.00,1910.00,1910.00
374,2016-07-17,14,1350.00,2565625.00,1940.00,1840.00,1940.00
375,2016-07-14,4,155.00,286010.00,1861.00,1790.00,1861.00
376,2016-07-13,2,37.00,64935.00,1755.00,1755.00,1755.00
377,2016-07-12,1,10.00,17870.00,1787.00,1787.00,1787.00
378,2016-07-11,4,202.00,364830.00,1835.00,1800.00,1803.00
379,2016-07-10,7,409.00,744387.00,1825.00,1794.00,1820.00
380,2016-07-05,2,45.00,81594.00,1830.00,1794.00,1794.00
381,2016-07-04,4,160.00,304168.00,1930.00,1862.00,1862.00
382,2016-07-03,1,18.00,34200.00,1900.00,1900.00,1900.00
383,2016-06-30,4,371.00,736235.00,2000.00,1930.00,1930.00
384,2016-06-29,6,266.00,514288.00,1963.00,1920.00,1963.00
385,2016-06-28,22,2605.00,4792290.00,1925.00,1785.00,1925.00
386,2016-06-27,11,1962.00,3375520.00,1750.00,1682.00,1750.00
387,2016-06-26,6,420.00,743960.00,1800.00,1764.00,1770.00
388,2016-06-23,11,1718.00,2885886.00,1749.00,1650.00,1740.00
389,2016-06-22,1,12.00,19440.00,1620.00,1620.00,1620.00
390,2016-06-20,4,154.00,251516.00,1640.00,1608.00,1610.00
391,2016-06-19,2,110.00,183440.00,1694.00,1665.00,1665.00
392,2016-06-16,6,892.00,1473200.00,1662.00,1620.00,1662.00
393,2016-06-15,2,345.00,548430.00,1590.00,1580.00,1590.00
394,2016-06-14,10,1105.00,1785095.00,1698.00,1580.00,1580.00
395,2016-06-13,21,1802.00,2854347.00,1665.00,1568.00,1665.00
396,2016-06-12,10,984.00,1627168.00,1732.00,1632.00,1663.00
397,2016-06-09,9,635.00,1014236.00,1634.00,1580.00,1634.00
398,2016-06-08,4,70.00,112740.00,1664.00,1570.00,1570.00
399,2016-06-07,24,1834.00,2931324.00,1670.00,1540.00,1636.00
400,2016-06-06,3,91.00,141255.00,1575.00,1544.00,1544.00
401,2016-06-05,3,150.00,228470.00,1550.00,1519.00,1519.00
402,2016-05-30,4,200.00,310000.00,1550.00,1550.00,1550.00
403,2016-05-29,2,512.00,799080.00,1590.00,1560.00,1560.00
404,2016-05-26,2,130.00,202400.00,1580.00,1550.00,1580.00
405,2016-05-25,3,586.00,909220.00,1570.00,1545.00,1550.00
406,2016-05-24,3,206.00,320816.00,1581.00,1550.00,1550.00
407,2016-05-23,2,180.00,277000.00,1550.00,1530.00,1550.00
408,2016-05-22,1,60.00,93000.00,1550.00,1550.00,1550.00
409,2016-05-19,4,158.00,241424.00,1546.00,1515.00,1546.00
410,2016-05-18,1,96.00,148320.00,1545.00,1545.00,1545.00
411,2016-05-15,1,100.00,151500.00,1515.00,1515.00,1515.00
412,2016-05-10,1,48.00,74160.00,1545.00,1545.00,1545.00
413,2016-05-09,1,30.00,47040.00,1568.00,1568.00,1568.00
414,2016-05-08,4,440.00,687000.00,1600.00,1530.00,1600.00
415,2016-05-05,8,418.00,648460.00,1568.00,1545.00,1560.00
416,2016-05-04,8,372.00,587800.00,1600.00,1481.00,1600.00
417,2016-05-03,1,100.00,156000.00,1560.00,1560.00,1560.00
418,2016-05-02,9,892.00,1356855.00,1595.00,1475.00,1585.00
419,2016-04-28,5,349.00,522785.00,1535.00,1491.00,1500.00
420,2016-04-27,4,260.00,393680.00,1543.00,1513.00,1513.00
421,2016-04-26,1,50.00,77150.00,1543.00,1543.00,1543.00
422,2016-04-25,3,76.00,120300.00,1606.00,1574.00,1574.00
423,2016-04-21,1,10.00,15600.00,1560.00,1560.00,1560.00
424,2016-04-20,7,380.00,592350.00,1600.00,1540.00,1550.00
425,2016-04-19,3,136.00,209500.00,1550.00,1539.00,1550.00
426,2016-04-18,11,1043.00,1574692.00,1535.00,1490.00,1520.00
427,2016-04-17,1,36.00,54180.00,1505.00,1505.00,1505.00
428,2016-04-14,2,80.00,118280.00,1480.00,1476.00,1476.00
429,2016-04-12,2,112.00,169072.00,1510.00,1506.00,1506.00
430,2016-04-11,4,80.00,123240.00,1567.00,1507.00,1536.00
431,2016-04-06,3,130.00,192360.00,1481.00,1478.00,1478.00
432,2016-04-03,1,10.00,15080.00,1508.00,1508.00,1508.00
433,2016-03-31,2,76.00,110490.00,1479.00,1450.00,1479.00
434,2016-03-30,1,20.00,29000.00,1450.00,1450.00,1450.00
435,2016-03-28,6,642.00,943100.00,1495.00,1450.00,1479.00
436,2016-03-27,8,1338.00,1903208.00,1449.00,1420.00,1449.00
437,2016-03-24,1,200.00,279000.00,1395.00,1395.00,1395.00
438,2016-03-23,2,150.00,207170.00,1395.00,1379.00,1395.00
439,2016-03-21,4,222.00,313164.00,1428.00,1372.00,1399.00
440,2016-03-16,5,360.00,500000.00,1400.00,1385.00,1400.00
441,2016-03-15,1,100.00,142800.00,1428.00,1428.00,1428.00
442,2016-03-13,6,122.00,172130.00,1453.00,1400.00,1400.00
443,2016-03-06,1,175.00,245000.00,1400.00,1400.00,1400.00
444,2016-03-03,2,312.00,429324.00,1402.00,1375.00,1402.00
445,2016-03-02,5,404.00,557186.00,1428.00,1375.00,1400.00
446,2016-02-28,4,248.00,346004.00,1399.00,1372.00,1373.00
447,2016-02-25,7,650.00,912350.00,1420.00,1392.00,1400.00
448,2016-02-24,10,398.00,569042.00,1479.00,1401.00,1430.00
449,2016-02-22,7,906.00,1243446.00,1401.00,1341.00,1401.00
450,2016-02-18,6,531.00,751158.00,1470.00,1395.00,1395.00
451,2016-02-17,3,276.00,407982.00,1499.00,1470.00,1499.00
452,2016-02-16,1,11.00,16599.00,1509.00,1509.00,1509.00
453,2016-02-14,5,250.00,376920.00,1514.00,1480.00,1480.00
454,2016-02-11,1,100.00,148500.00,1485.00,1485.00,1485.00
455,2016-02-08,3,30.00,44350.00,1500.00,1453.00,1500.00
456,2016-02-07,1,92.00,131100.00,1425.00,1425.00,1425.00
457,2016-02-04,6,792.00,1156038.00,1480.00,1451.00,1451.00
458,2016-02-03,2,112.00,160620.00,1460.00,1431.00,1431.00
459,2016-02-02,11,812.00,1163847.00,1463.00,1416.00,1444.00
460,2016-02-01,15,1126.00,1653244.00,1571.00,1443.00,1443.00
461,2016-01-31,1,10.00,16030.00,1603.00,1603.00,1603.00
462,2016-01-27,2,372.00,609220.00,1640.00,1635.00,1635.00
463,2016-01-26,7,1048.00,1647140.00,1626.00,1550.00,1626.00
464,2016-01-21,8,640.00,966060.00,1539.00,1490.00,1539.00
465,2016-01-20,19,1126.00,1706435.00,1521.00,1410.00,1520.00
466,2016-01-19,4,480.00,662880.00,1383.00,1356.00,1383.00
467,2016-01-18,5,543.00,733926.00,1383.00,1330.00,1383.00
468,2016-01-17,1,10.00,13040.00,1304.00,1304.00,1304.00
469,2016-01-12,2,335.00,445550.00,1330.00,1330.00,1330.00
470,2016-01-11,3,80.00,103860.00,1305.00,1280.00,1305.00
471,2016-01-06,1,165.00,214500.00,1300.00,1300.00,1300.00
472,2016-01-04,6,1372.00,1815640.00,1340.00,1320.00,1320.00
473,2016-01-03,14,2487.00,3302491.00,1349.00,1300.00,1349.00
474,2015-12-31,2,338.00,456300.00,1350.00,1350.00,1350.00
475,2015-12-29,2,33.00,44562.00,1351.00,1350.00,1350.00
476,2015-12-28,2,60.00,79560.00,1326.00,1326.00,1326.00
477,2015-12-16,6,466.00,574428.00,1300.00,1216.00,1300.00
478,2015-12-08,2,236.00,297640.00,1265.00,1240.00,1240.00
479,2015-11-30,3,215.00,277500.00,1300.00,1290.00,1290.00
480,2015-11-29,1,60.00,78240.00,1304.00,1304.00,1304.00
481,2015-09-07,4,522.00,699630.00,1377.00,1330.00,1330.00
482,2015-09-02,1,42.00,56700.00,1350.00,1350.00,1350.00
483,2015-08-27,3,330.00,437370.00,1330.00,1319.00,1330.00
484,2015-08-26,1,90.00,117090.00,1301.00,1301.00,1301.00
485,2015-08-25,2,279.00,361221.00,1299.00,1274.00,1299.00
486,2015-08-20,4,90.00,115800.00,1300.00,1275.00,1300.00
487,2015-08-19,6,1080.00,1329684.00,1251.00,1160.00,1250.00
488,2015-08-17,1,27.00,30726.00,1138.00,1138.00,1138.00
489,2015-08-16,7,822.00,904470.00,1130.00,1093.00,1116.00
490,2015-08-13,10,1185.00,1321527.00,1137.00,1110.00,1115.00
491,2015-08-12,12,869.00,973099.00,1140.00,1112.00,1118.00
492,2015-08-11,2,29.00,32701.00,1128.00,1127.00,1128.00
493,2015-08-10,2,499.00,573970.00,1162.00,1150.00,1150.00
494,2015-08-09,3,39.00,45126.00,1170.00,1148.00,1148.00
495,2015-08-06,1,12.00,13944.00,1162.00,1162.00,1162.00
496,2015-08-05,6,342.00,393522.00,1185.00,1140.00,1185.00
497,2015-08-04,3,528.00,603405.00,1155.00,1140.00,1140.00
498,2015-07-30,5,66.00,78912.00,1200.00,1176.00,1176.00
499,2015-07-28,2,27.00,32160.00,1200.00,1180.00,1200.00
500,2015-07-27,7,1005.00,1180701.00,1203.00,1166.00,1180.00
501,2015-07-26,5,180.00,201318.00,1144.00,1060.00,1144.00
502,2015-07-23,1,12.00,12480.00,1040.00,1040.00,1040.00
503,2015-07-22,5,245.00,250731.00,1025.00,1020.00,1020.00
504,2015-07-16,3,712.00,716076.00,1023.00,1003.00,1023.00
505,2015-07-14,3,912.00,891252.00,996.00,977.00,996.00
506,2015-07-13,1,600.00,590400.00,984.00,984.00,984.00
507,2015-07-12,5,729.00,715215.00,999.00,980.00,999.00
508,2015-07-09,1,96.00,94656.00,986.00,986.00,986.00
509,2015-07-08,2,648.00,660048.00,1020.00,1001.00,1001.00
510,2015-07-07,3,1632.00,1624608.00,1000.00,991.00,1000.00
511,2015-07-06,2,618.00,614016.00,1012.00,993.00,993.00
512,2015-07-05,3,66.00,66216.00,1012.00,1000.00,1012.00
513,2015-07-02,7,549.00,548190.00,1004.00,985.00,1004.00
514,2015-06-25,1,60.00,59100.00,985.00,985.00,985.00
515,2015-06-23,1,258.00,252840.00,980.00,980.00,980.00
516,2015-06-22,1,600.00,580200.00,967.00,967.00,967.00
517,2015-06-21,1,12.00,11796.00,983.00,983.00,983.00
518,2015-06-18,1,498.00,498000.00,1000.00,1000.00,1000.00
519,2015-06-17,4,84.00,83076.00,989.00,989.00,989.00
520,2015-06-15,3,90.00,87414.00,989.00,951.00,989.00
521,2015-06-14,3,114.00,110628.00,971.00,970.00,970.00
522,2015-06-09,1,48.00,47520.00,990.00,990.00,990.00
523,2015-06-08,1,600.00,582600.00,971.00,971.00,971.00
524,2015-06-07,2,39.00,38430.00,990.00,980.00,980.00
525,2015-06-03,1,21.00,21105.00,1005.00,1005.00,1005.00
526,2015-06-02,4,78.00,79464.00,1044.00,1000.00,1000.00
527,2015-04-23,1,180.00,187920.00,1044.00,1044.00,1044.00
528,2015-04-16,2,75.00,79290.00,1065.00,1050.00,1065.00
529,2015-04-15,1,36.00,38340.00,1065.00,1065.00,1065.00
530,2015-04-13,1,36.00,38160.00,1060.00,1060.00,1060.00
531,2015-04-12,2,57.00,60306.00,1058.00,1058.00,1058.00
532,2015-04-09,3,36.00,36660.00,1038.00,999.00,1038.00
533,2015-04-08,2,48.00,46980.00,980.00,975.00,980.00
534,2015-03-29,4,702.00,675144.00,971.00,960.00,960.00
535,2015-03-26,2,120.00,117900.00,985.00,980.00,980.00
536,2015-03-19,3,516.00,513204.00,1000.00,989.00,1000.00
537,2015-03-18,1,12.00,11868.00,989.00,989.00,989.00
538,2015-03-17,3,2412.00,2337576.00,988.00,969.00,970.00
539,2015-03-11,2,720.00,684156.00,963.00,950.00,950.00
540,2015-03-09,3,1296.00,1277064.00,990.00,982.00,982.00
541,2015-03-04,1,12.00,11880.00,990.00,990.00,990.00
542,2015-03-03,1,12.00,12108.00,1009.00,1009.00,1009.00
543,2015-03-02,2,72.00,74718.00,1050.00,1029.00,1029.00
544,2015-02-25,1,30.00,32100.00,1070.00,1070.00,1070.00
545,2015-02-11,1,12.00,13080.00,1090.00,1090.00,1090.00
546,2015-02-10,1,60.00,64260.00,1071.00,1071.00,1071.00
547,2015-02-08,1,12.00,12600.00,1050.00,1050.00,1050.00
548,2015-02-04,1,30.00,30900.00,1030.00,1030.00,1030.00
549,2015-02-01,1,435.00,456750.00,1050.00,1050.00,1050.00
550,2015-01-29,1,102.00,109242.00,1071.00,1071.00,1071.00
551,2015-01-26,2,552.00,579600.00,1050.00,1050.00,1050.00
552,2015-01-25,1,48.00,50400.00,1050.00,1050.00,1050.00
553,2015-01-22,2,87.00,90480.00,1040.00,1040.00,1040.00
554,2015-01-20,3,357.00,372240.00,1050.00,1020.00,1050.00
555,2015-01-19,4,1056.00,1055622.00,1020.00,980.00,1020.00
556,2015-01-18,1,285.00,273885.00,961.00,961.00,961.00
557,2015-01-14,1,36.00,35280.00,980.00,980.00,980.00
558,2015-01-12,1,165.00,164835.00,999.00,999.00,999.00
559,2015-01-11,5,2109.00,2056380.00,980.00,960.00,980.00
560,2015-01-08,5,81.00,74682.00,955.00,886.00,955.00
561,2014-12-31,4,54.00,46926.00,869.00,869.00,869.00
562,2014-12-18,4,3048.00,2549865.00,886.00,836.00,886.00
563,2014-12-17,1,21.00,17220.00,820.00,820.00,820.00
564,2014-12-08,2,1968.00,1594080.00,810.00,810.00,810.00
565,2014-12-07,4,540.00,440076.00,835.00,805.00,805.00
566,2014-11-23,2,48.00,39120.00,815.00,815.00,815.00
567,2014-11-13,1,54.00,44712.00,828.00,828.00,828.00
568,2014-11-12,2,351.00,295389.00,852.00,841.00,841.00
569,2014-11-06,6,1173.00,1022080.00,885.00,868.00,868.00
570,2014-11-04,3,232.00,210852.00,927.00,891.00,891.00
571,2014-11-02,2,862.00,814338.00,945.00,936.00,945.00
572,2014-10-22,2,121.00,115462.00,955.00,954.00,955.00
573,2014-10-19,3,42.00,40410.00,973.00,954.00,973.00
574,2014-09-23,2,60.00,56160.00,936.00,936.00,936.00
575,2014-09-04,2,45.00,43431.00,974.00,955.00,955.00
576,2014-09-01,7,225.00,225210.00,1022.00,990.00,990.00
577,2014-08-28,3,87.00,89160.00,1040.00,1020.00,1020.00
578,2014-08-20,2,69.00,68880.00,1000.00,990.00,1000.00
579,2014-08-06,2,36.00,35880.00,1000.00,990.00,990.00
580,2014-08-05,3,132.00,133620.00,1030.00,1000.00,1000.00
581,2014-08-04,1,18.00,18540.00,1030.00,1030.00,1030.00
582,2014-07-30,2,66.00,67530.00,1030.00,1020.00,1030.00
583,2014-07-27,2,204.00,208080.00,1020.00,1020.00,1020.00
584,2014-07-23,1,42.00,42840.00,1020.00,1020.00,1020.00
585,2014-07-22,2,87.00,90210.00,1040.00,1022.00,1022.00
586,2014-07-21,1,48.00,49920.00,1040.00,1040.00,1040.00
587,2014-07-17,1,12.00,12600.00,1050.00,1050.00,1050.00
588,2014-07-16,3,36.00,38520.00,1070.00,1070.00,1070.00
589,2014-07-14,1,18.00,19260.00,1070.00,1070.00,1070.00
590,2014-07-10,1,318.00,343122.00,1079.00,1079.00,1079.00
591,2014-07-08,4,2136.00,2283198.00,1101.00,1059.00,1101.00
592,2014-07-06,1,18.00,19440.00,1080.00,1080.00,1080.00
593,2014-06-26,1,12.00,12720.00,1060.00,1060.00,1060.00
