S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
127,2021-06-17,50,45155.00,464223.10,10.31,10.13,10.30
128,2021-06-16,47,59950.00,616451.00,10.30,10.20,10.30
129,2021-06-15,84,36650.00,377412.00,10.34,10.20,10.33
130,2021-06-14,82,37600.00,388781.00,10.41,10.20,10.33
131,2021-06-13,141,140830.00,1444326.90,10.35,10.07,10.30
132,2021-06-10,76,83909.00,860362.96,10.35,10.20,10.25
133,2021-06-09,50,39728.00,406903.94,10.30,10.05,10.25
134,2021-06-08,73,82399.00,841728.30,10.32,10.00,10.25
135,2021-06-07,79,57890.00,590942.60,10.30,10.10,10.20
136,2021-06-06,75,47100.00,479205.50,10.20,10.12,10.20
137,2021-06-03,86,69410.00,708314.70,10.25,10.00,10.20
138,2021-06-02,58,35230.00,354734.00,10.25,10.10,10.20
139,2021-06-01,102,91250.00,928911.50,10.25,10.10,10.16
140,2021-05-31,108,68540.00,694318.80,10.29,9.95,10.12
141,2021-05-30,130,69334.00,696924.14,10.18,9.91,10.08
142,2021-05-27,43,24550.00,244003.00,9.99,9.80,9.97
143,2021-05-25,36,23671.00,234946.00,10.10,9.89,9.95
144,2021-05-24,43,26790.00,265457.20,9.98,9.66,9.93
145,2021-05-23,75,69000.00,683256.70,10.05,9.85,9.85
146,2021-05-20,71,62100.00,613213.00,10.01,9.84,9.89
147,2021-05-19,56,32318.00,322410.52,10.04,9.89,10.04
148,2021-05-18,43,23020.00,228881.60,9.97,9.92,9.95
149,2021-05-17,85,37360.00,371855.70,10.04,9.80,9.92
150,2021-05-16,45,29500.00,289910.00,9.96,9.74,9.89
151,2021-05-13,49,15204.00,150983.00,10.00,9.80,9.93
152,2021-05-12,49,27980.00,278160.20,10.00,9.82,9.99
153,2021-05-11,37,21910.00,216863.60,9.93,9.75,9.92
154,2021-05-10,34,24600.00,241795.00,9.90,9.75,9.83
155,2021-05-09,33,10090.00,98853.60,9.84,9.70,9.83
156,2021-05-06,43,15800.00,154840.00,9.90,9.76,9.89
157,2021-05-05,46,16010.00,158087.00,9.95,9.78,9.90
158,2021-05-04,38,16960.00,167967.90,9.99,9.80,9.97
159,2021-05-03,54,20218.00,199118.92,9.89,9.80,9.84
160,2021-05-02,51,30160.00,296087.40,9.94,9.42,9.82
161,2021-04-29,38,14112.00,139711.38,9.94,9.72,9.91
162,2021-04-28,40,12800.00,125616.50,10.00,9.69,10.00
163,2021-04-27,37,13860.00,135999.70,9.89,9.70,9.85
164,2021-04-26,43,23200.00,228125.00,9.89,9.62,9.89
165,2021-04-25,45,15260.00,149166.80,9.90,9.61,9.80
166,2021-04-22,27,10300.00,102119.50,10.08,9.71,9.92
167,2021-04-21,48,12650.00,126232.00,10.04,9.77,9.90
168,2021-04-20,46,17400.00,172328.00,10.00,9.80,9.96
169,2021-04-19,32,9400.00,93732.00,10.00,9.81,9.97
