symbol,days,start_date,end_date,file
WOMI,860,2015-12-10,2021-08-31,stock_daily_WOMI.csv
RADHI,847,2018-03-26,2021-12-29,stock_daily_RADHI.csv
SEF,830,2018-01-16,2021-12-29,stock_daily_SEF.csv
GIMES1,826,2016-06-02,2021-12-29,stock_daily_GIMES1.csv
SEOS,825,2014-10-09,2019-07-21,stock_daily_SEOS.csv
EBLCP,809,2010-04-19,2021-12-21,stock_daily_EBLCP.csv
BBC,789,2010-04-15,2021-12-29,stock_daily_BBC.csv
SMB,771,2018-03-11,2021-12-29,stock_daily_SMB.csv
SAEF,760,2018-02-28,2021-12-29,stock_daily_SAEF.csv
MSLB,756,2017-08-27,2021-12-29,stock_daily_MSLB.csv
RRHP,745,2018-06-21,2021-11-03,stock_daily_RRHP.csv
HATH,720,2011-02-21,2019-03-14,stock_daily_HATH.csv
NICGF,711,2018-04-24,2021-12-29,stock_daily_NICGF.csv
PMHPL,704,2018-10-10,2021-12-29,stock_daily_PMHPL.csv
KPCL,695,2018-10-11,2021-12-29,stock_daily_KPCL.csv
CMF1,694,2018-04-24,2021-12-29,stock_daily_CMF1.csv
LEMF,682,2017-08-03,2021-12-29,stock_daily_LEMF.csv
AKJCL,670,2018-12-20,2021-12-29,stock_daily_AKJCL.csv
SYFL,662,2013-09-19,2017-10-11,stock_daily_SYFL.csv
UPPER,660,2019-01-13,2021-12-29,stock_daily_UPPER.csv
SLBS,654,2017-02-08,2021-08-31,stock_daily_SLBS.csv
SLBSL,640,2019-01-21,2021-12-29,stock_daily_SLBSL.csv
USLB,620,2018-03-18,2021-12-29,stock_daily_USLB.csv
ALBSL,619,2019-03-11,2021-12-29,stock_daily_ALBSL.csv
SHIVM,613,2019-03-24,2021-12-29,stock_daily_SHIVM.csv
SMATA,610,2017-06-19,2021-12-29,stock_daily_SMATA.csv
UPCL,605,2019-03-24,2021-12-29,stock_daily_UPCL.csv
MHNL,581,2019-04-17,2021-12-29,stock_daily_MHNL.csv
SFFIL,580,2010-05-16,2020-01-22,stock_daily_SFFIL.csv
JOSHI,568,2019-01-07,2021-12-29,stock_daily_JOSHI.csv
HURJA,565,2019-05-22,2021-12-29,stock_daily_HURJA.csv
PPCL,563,2019-05-05,2021-12-29,stock_daily_PPCL.csv
GLBSL,556,2019-06-02,2021-12-29,stock_daily_GLBSL.csv
GMFBS,554,2019-06-06,2021-12-29,stock_daily_GMFBS.csv
NFS,547,2010-06-29,2021-12-29,stock_daily_NFS.csv
SMFBS,544,2019-06-17,2021-12-29,stock_daily_SMFBS.csv
ILBS,539,2019-07-08,2021-12-29,stock_daily_ILBS.csv
SDESI,535,2017-08-10,2020-08-13,stock_daily_SDESI.csv
STC,525,2010-04-28,2021-12-29,stock_daily_STC.csv
UNHPL,523,2019-06-12,2021-12-29,stock_daily_UNHPL.csv
SJCL,519,2019-08-06,2021-12-29,stock_daily_SJCL.csv
RHPL,518,2019-08-06,2021-12-29,stock_daily_RHPL.csv
HAMRO,513,2013-10-08,2018-07-15,stock_daily_HAMRO.csv
SABSL,505,2019-08-22,2021-12-29,stock_daily_SABSL.csv
NADEP,499,2018-08-23,2020-12-31,stock_daily_NADEP.csv
GHL,497,2019-02-17,2021-12-29,stock_daily_GHL.csv
NSEWA,471,2018-06-20,2020-12-15,stock_daily_NSEWA.csv
SAPDBL,469,2019-10-01,2021-12-29,stock_daily_SAPDBL.csv
CEFL,454,2010-05-18,2020-01-08,stock_daily_CEFL.csv
KBLPO,401,2010-05-18,2021-12-27,stock_daily_KBLPO.csv
NICBF,396,2019-11-11,2021-12-29,stock_daily_NICBF.csv
NBF2,376,2020-02-09,2021-12-29,stock_daily_NBF2.csv
HDHPC,371,2020-02-25,2021-12-29,stock_daily_HDHPC.csv
NRIC,365,2020-06-29,2021-12-29,stock_daily_NRIC.csv
ACLBSL,357,2019-01-07,2021-12-29,stock_daily_ACLBSL.csv
NMB50,347,2020-07-15,2021-12-29,stock_daily_NMB50.csv
LFC,346,2010-04-19,2019-06-06,stock_daily_LFC.csv
AIL,341,2020-08-02,2021-12-29,stock_daily_AIL.csv
SDLBSL,338,2020-08-06,2021-12-29,stock_daily_SDLBSL.csv
SFMF,335,2020-07-15,2021-12-29,stock_daily_SFMF.csv
NRN,324,2020-08-26,2021-12-29,stock_daily_NRN.csv
RLI,316,2020-09-08,2021-12-29,stock_daily_RLI.csv
LUK,312,2020-09-14,2021-12-29,stock_daily_LUK.csv
LEC,308,2020-09-20,2021-12-29,stock_daily_LEC.csv
HFL,292,2011-03-16,2013-09-29,stock_daily_HFL.csv
GIC,290,2020-10-14,2021-12-29,stock_daily_GIC.csv
NABBC,284,2010-07-12,2021-12-29,stock_daily_NABBC.csv
SSHL,282,2020-10-29,2021-12-29,stock_daily_SSHL.csv
NICAD8283,279,2019-12-26,2021-12-28,stock_daily_NICAD8283.csv
SAND2085,279,2019-06-16,2021-12-27,stock_daily_SAND2085.csv
SPARS,279,2019-05-07,2020-10-06,stock_daily_SPARS.csv
SGI,278,2020-11-04,2021-12-29,stock_daily_SGI.csv
CMF2,269,2020-11-22,2021-12-29,stock_daily_CMF2.csv
EICPO,260,2020-11-26,2021-12-29,stock_daily_EICPO.csv
MEN,251,2020-12-16,2021-12-29,stock_daily_MEN.csv
UMRH,249,2020-12-20,2021-12-29,stock_daily_UMRH.csv
PLI,238,2021-01-03,2021-12-29,stock_daily_PLI.csv
AMFI,231,2018-04-05,2019-10-22,stock_daily_AMFI.csv
SHBL,231,2014-11-10,2017-06-08,stock_daily_SHBL.csv
SIGS2,231,2021-01-11,2021-12-29,stock_daily_SIGS2.csv
CGH,215,2021-02-07,2021-12-29,stock_daily_CGH.csv
CFL,214,2010-04-15,2011-07-07,stock_daily_CFL.csv
NIFRA,210,2021-02-14,2021-12-29,stock_daily_NIFRA.csv
PBLD84,208,2020-11-10,2021-12-29,stock_daily_PBLD84.csv
NICLBSL,205,2020-07-09,2021-12-29,stock_daily_NICLBSL.csv
SLCF,201,2021-02-25,2021-12-29,stock_daily_SLCF.csv
